ds,yhat,yhat_lower,yhat_upper,parameter,variable
2022-01-01,1.6312545001589882,1.3177351385625313,1.9454253747053118,chlorophyll,chlorophyll
2022-02-01,1.2626884289249853,0.9630391351287676,1.580259973177436,chlorophyll,chlorophyll
2022-03-01,-0.15114556112866107,-0.44632575727569695,0.16847286498467612,chlorophyll,chlorophyll
2022-04-01,-0.028754989530842517,-0.3438254183379966,0.29780748238144955,chlorophyll,chlorophyll
2022-05-01,0.07742681170997606,-0.23206161231991745,0.40523329509567263,chlorophyll,chlorophyll
2022-06-01,0.15892793519172105,-0.16754902062899207,0.4607421903464146,chlorophyll,chlorophyll
2022-07-01,0.1949045525321796,-0.13414214031730887,0.5048320473230913,chlorophyll,chlorophyll
2022-08-01,0.17760446035031996,-0.17058194865755014,0.4967917033240675,chlorophyll,chlorophyll
2022-09-01,0.1299843400784375,-0.18567409757087874,0.4448695699994937,chlorophyll,chlorophyll
2022-10-01,0.045968891155678315,-0.26151072144274334,0.34110081351791705,chlorophyll,chlorophyll
2022-11-01,-0.05091133652870439,-0.3455286395251832,0.28628504222316375,chlorophyll,chlorophyll
2022-12-01,-0.12706465791965424,-0.4420924656391861,0.18659439579432027,chlorophyll,chlorophyll
2023-01-01,0.6979281423077797,0.38087272991732296,1.0197037119205004,chlorophyll,chlorophyll
2023-02-01,0.5453432856825035,0.23574033197813668,0.8670633934364805,chlorophyll,chlorophyll
2023-03-01,0.15234481363121122,-0.16720512147240676,0.46501998623563123,chlorophyll,chlorophyll
2023-04-01,0.029688165375748976,-0.26578924316543856,0.3353874660778333,chlorophyll,chlorophyll
2023-05-01,-0.07660496097732983,-0.4040911978582058,0.22856093757662907,chlorophyll,chlorophyll
2023-06-01,-0.1582496523255565,-0.46970546673608443,0.15458147689755422,chlorophyll,chlorophyll
2023-07-01,-0.1950179388333294,-0.49673144187156204,0.11532474306494729,chlorophyll,chlorophyll
2023-08-01,-0.17799207454682459,-0.4922105133300308,0.1366212939841006,chlorophyll,chlorophyll
2023-09-01,-0.13062817774554641,-0.4348126173588624,0.18886056265329104,chlorophyll,chlorophyll
2023-10-01,-0.0469636179986237,-0.3700190464317163,0.23253006083034078,chlorophyll,chlorophyll
2023-11-01,0.050024558692559395,-0.24230975139449282,0.37712205667751286,chlorophyll,chlorophyll
2023-12-01,0.12669821215737131,-0.1719368824389415,0.4504044497842745,chlorophyll,chlorophyll
2024-01-01,-0.2496962535524077,-0.5755566647529256,0.0392087694338493,chlorophyll,chlorophyll
2024-02-01,-0.1585462095623626,-0.46517585558901037,0.17822117868038806,chlorophyll,chlorophyll
2024-02-29,0.4674273535129557,0.15013864333234928,0.7708425451148274,chlorophyll,chlorophyll
2024-03-31,0.08384654815248649,-0.23316851615860892,0.39266015972513335,chlorophyll,chlorophyll
2024-04-30,-0.23939886699064672,-0.5530377750772167,0.07510126836555196,chlorophyll,chlorophyll
2024-05-31,-0.4821523482583462,-0.796111405363131,-0.1936801135687392,chlorophyll,chlorophyll
2024-06-30,-0.585868977212516,-0.8932322206141372,-0.2770869940146212,chlorophyll,chlorophyll
2024-07-31,-0.5294967417537279,-0.8437036989816256,-0.2014954750908946,chlorophyll,chlorophyll
2024-08-31,-0.38393951095290363,-0.7069408402370024,-0.07771076291554523,chlorophyll,chlorophyll
2024-09-30,-0.13279492346359822,-0.46389033697738197,0.16507940375383526,chlorophyll,chlorophyll
2024-10-31,0.15231311388282887,-0.18566605288620366,0.4632918650602797,chlorophyll,chlorophyll
2024-11-30,0.3621906804931999,0.0343599912158707,0.6706115031397469,chlorophyll,chlorophyll
2024-12-31,-1.2107264867094751,-1.5233424196360366,-0.8634762496528224,chlorophyll,chlorophyll
2025-01-31,-0.848240307349331,-1.1590181755657096,-0.5471091666999639,chlorophyll,chlorophyll
2022-01-01,0.0,-1.2735116662903688e-09,1.3311441466261142e-09,temperature,temperature
2022-02-01,0.0,-1.280540070996724e-09,1.2435894190707285e-09,temperature,temperature
2022-03-01,0.0,-1.2551668698236799e-09,1.3857619151373566e-09,temperature,temperature
2022-04-01,0.0,-1.3547524450364927e-09,1.2514648135885592e-09,temperature,temperature
2022-05-01,0.0,-1.2323896649521139e-09,1.2403977048325214e-09,temperature,temperature
2022-06-01,0.0,-1.2502014635771113e-09,1.3118898591256673e-09,temperature,temperature
2022-07-01,0.0,-1.1942118816435486e-09,1.3880401368958553e-09,temperature,temperature
2022-08-01,0.0,-1.3105496905704463e-09,1.3007572757803799e-09,temperature,temperature
2022-09-01,0.0,-1.2499846991565923e-09,1.275671901138741e-09,temperature,temperature
2022-10-01,0.0,-1.3002307431742113e-09,1.2411183095220044e-09,temperature,temperature
2022-11-01,0.0,-1.3054326069288216e-09,1.349615203701856e-09,temperature,temperature
2022-12-01,0.0,-1.3318521033866422e-09,1.3523849119698289e-09,temperature,temperature
2023-01-01,0.0,-1.2674116076308985e-09,1.3370600553678423e-09,temperature,temperature
2023-02-01,0.0,-1.16002472339829e-09,1.3560619762032339e-09,temperature,temperature
2023-03-01,0.0,-1.2296976752905448e-09,1.3533387132552128e-09,temperature,temperature
2023-04-01,0.0,-1.2747902501881135e-09,1.3823700379998597e-09,temperature,temperature
2023-05-01,0.0,-1.3319237232968385e-09,1.30595702780408e-09,temperature,temperature
2023-06-01,0.0,-1.1869469285290765e-09,1.1930164812067888e-09,temperature,temperature
2023-07-01,0.0,-1.2894540422373386e-09,1.2733090818866152e-09,temperature,temperature
2023-08-01,0.0,-1.2510264166786462e-09,1.3431135532908579e-09,temperature,temperature
2023-09-01,0.0,-1.2026842930496651e-09,1.2768009313761181e-09,temperature,temperature
2023-10-01,0.0,-1.2793356128115287e-09,1.3214290658640875e-09,temperature,temperature
2023-11-01,0.0,-1.2972562136368408e-09,1.2645584054265932e-09,temperature,temperature
2023-12-01,0.0,-1.3233486233647478e-09,1.239183510355499e-09,temperature,temperature
2024-01-01,0.0,-1.2743964307436443e-09,1.23045099408412e-09,temperature,temperature
2024-02-01,0.0,-1.2129788476821302e-09,1.2866014618900436e-09,temperature,temperature
2024-02-29,0.0,-1.2650606357032748e-09,1.2688633325907064e-09,temperature,temperature
2024-03-31,0.0,-1.5653712160408685e-09,1.559905102952621e-09,temperature,temperature
2024-04-30,0.0,-2.1197068668367507e-09,2.1147116072386523e-09,temperature,temperature
2024-05-31,0.0,-2.8582556096147862e-09,3.223582981648476e-09,temperature,temperature
2024-06-30,0.0,-3.919841443845419e-09,4.029409290925064e-09,temperature,temperature
2024-07-31,0.0,-5.126790780902255e-09,5.075443742011548e-09,temperature,temperature
2024-08-31,0.0,-6.345424108396933e-09,6.630329119929479e-09,temperature,temperature
2024-09-30,0.0,-7.591804958908806e-09,8.423410134990867e-09,temperature,temperature
2024-10-31,0.0,-8.975957424740846e-09,9.649702192172117e-09,temperature,temperature
2024-11-30,0.0,-1.1188542659970459e-08,1.1633044901419085e-08,temperature,temperature
2024-12-31,0.0,-1.2716196119485749e-08,1.3322358356695287e-08,temperature,temperature
2025-01-31,0.0,-1.4386649147537422e-08,1.5078028830589017e-08,temperature,temperature
2022-01-01,2.312253629008041,1.1281697204666417,3.420431323513689,precipitation,precipitation
2022-02-01,1.8801681113092292,0.806426971706466,2.943518330475316,precipitation,precipitation
2022-03-01,1.1816244094475818,0.04869722514867202,2.2733631593099215,precipitation,precipitation
2022-04-01,3.0974591482540386,2.096441668273126,4.182716443804439,precipitation,precipitation
2022-05-01,3.949335825655577,2.8038099216580545,5.0944619063573136,precipitation,precipitation
2022-06-01,1.979410872341207,0.88410947049921,3.073277835650053,precipitation,precipitation
2022-07-01,4.201366985728145,3.0733776910132407,5.266730747838566,precipitation,precipitation
2022-08-01,5.784151177552412,4.701766499661229,6.812851470250692,precipitation,precipitation
2022-09-01,2.4649666702348427,1.256623970149875,3.5889829839145846,precipitation,precipitation
2022-10-01,5.351910750461044,4.252399124356987,6.46067763536541,precipitation,precipitation
2022-11-01,7.680370942499602,6.614103962579708,8.794159821470577,precipitation,precipitation
2022-12-01,4.390195644948568,3.281729826607661,5.4719993054320275,precipitation,precipitation
2023-01-01,1.9192222146130948,0.7915897828730973,2.9885180256760577,precipitation,precipitation
2023-02-01,1.2978635431566121,0.19989463894003376,2.4321821727188455,precipitation,precipitation
2023-03-01,2.7015924997508964,1.5539977925973212,3.786336644792841,precipitation,precipitation
2023-04-01,1.0474232323136161,0.01371242613151725,2.158145419554728,precipitation,precipitation
2023-05-01,0.41526487587927274,-0.6590985034732234,1.506040113841353,precipitation,precipitation
2023-06-01,0.8158226897879572,-0.30207125007178115,1.8955264427559584,precipitation,precipitation
2023-07-01,1.2657408050790036,0.22947316667908166,2.363348962101354,precipitation,precipitation
2023-08-01,6.392621932876306,5.298186354605897,7.39368377453675,precipitation,precipitation
2023-09-01,5.183925711258684,4.0891701150705195,6.284327431213632,precipitation,precipitation
2023-10-01,2.9379514546722243,1.845501843403503,4.052303638837566,precipitation,precipitation
2023-11-01,4.557997673121216,3.47217720972349,5.660882391889176,precipitation,precipitation
2023-12-01,1.1362286860140072,0.06423913347827727,2.1876856588515814,precipitation,precipitation
2024-01-01,1.5947018665524217,0.485578462694549,2.678897953517508,precipitation,precipitation
2024-02-01,0.7577237032270498,-0.2910591014838292,1.8651060530941195,precipitation,precipitation
2024-02-29,4.1754100713980655,3.018566963469386,5.1785534621829825,precipitation,precipitation
2024-03-31,-1.0872118391397128,-2.098124485158871,-0.05234651539393469,precipitation,precipitation
2024-04-30,-3.1218142496682413,-4.175461262584982,-2.0202369174603523,precipitation,precipitation
2024-05-31,-0.32266709167254204,-1.4276189599441533,0.8010490553382809,precipitation,precipitation
2024-06-30,-1.6100111676844397,-2.695124858412442,-0.584789824032978,precipitation,precipitation
2024-07-31,7.077819586060403,5.987823548202353,8.185293603917962,precipitation,precipitation
2024-08-31,7.858950853892932,6.76232000317436,8.944501988297565,precipitation,precipitation
2024-09-30,0.4238742651562075,-0.7212331873773908,1.4800586297384837,precipitation,precipitation
2024-10-31,1.4038259945059197,0.3372539689027763,2.4947732119315225,precipitation,precipitation
2024-11-30,-2.0636482131403273,-3.2207232908250685,-0.9451324242492588,precipitation,precipitation
2024-12-31,1.338145925096432,0.24461629014129035,2.3594489697590175,precipitation,precipitation
2025-01-31,0.25801026153745843,-0.8292232810475928,1.3563612816197526,precipitation,precipitation
